Date ,Open,Close,Label
7/1/2016,"4,837.18","4,862.57",1
6/30/2016,"4,793.75","4,842.67",1
6/29/2016,"4,732.93","4,779.25",1
6/28/2016,"4,643.93","4,691.87",1
6/27/2016,"4,664.43","4,594.44",0
6/24/2016,"4,715.79","4,707.98",0
6/23/2016,"4,872.19","4,910.04",1
6/22/2016,"4,846.68","4,833.32",0
6/21/2016,"4,845.08","4,843.76",0
6/20/2016,"4,856.69","4,837.21",0
6/17/2016,"4,835.02","4,800.34",0
6/16/2016,"4,809.69","4,844.92",1
6/15/2016,"4,855.08","4,834.93",0
6/14/2016,"4,836.67","4,843.55",1
6/13/2016,"4,868.51","4,848.44",0
6/10/2016,"4,915.15","4,894.55",0
6/9/2016,"4,954.15","4,958.62",1
6/8/2016,"4,970.01","4,974.64",1
6/7/2016,"4,972.13","4,961.75",0
6/6/2016,"4,950.46","4,968.71",1
6/3/2016,"4,958.10","4,942.52",0
6/2/2016,"4,941.25","4,971.36",1
6/1/2016,"4,928.97","4,952.25",1
5/31/2016,"4,938.48","4,948.05",1
5/27/2016,"4,904.05","4,933.50",1
5/26/2016,"4,897.78","4,901.77",1
5/25/2016,"4,877.18","4,894.89",1
5/24/2016,"4,792.85","4,861.06",1
5/23/2016,"4,771.57","4,765.78",0
5/20/2016,"4,729.44","4,769.56",1
5/19/2016,"4,717.36","4,712.53",0
5/18/2016,"4,705.78","4,739.12",1
5/17/2016,"4,768.85","4,715.73",0
5/16/2016,"4,728.86","4,775.46",1
5/13/2016,"4,731.07","4,717.68",0
5/12/2016,"4,778.19","4,737.33",0
5/11/2016,"4,799.30","4,760.69",0
5/10/2016,"4,768.91","4,809.88",1
5/9/2016,"4,736.35","4,750.21",1
5/6/2016,"4,695.90","4,736.16",1
5/5/2016,"4,742.42","4,717.09",0
5/4/2016,"4,735.28","4,725.64",0
5/3/2016,"4,780.88","4,763.22",0
5/2/2016,"4,786.55","4,817.59",1
4/29/2016,"4,805.79","4,775.36",0
4/28/2016,"4,857.60","4,805.29",0
4/27/2016,"4,855.38","4,863.14",1
